x,y,delta_e,terrain_classification,waterlogging_risk_index,alphaearth_similarity
6,4,0.05217,Active Excavation / Bench Cut,0.4091,0.5046
7,4,0.06911,Active Excavation / Bench Cut,0.4468,0.5239
8,4,0.06202,Active Excavation / Bench Cut,0.3961,0.5016
9,4,0.07257,Active Excavation / Bench Cut,0.4058,0.4159
10,4,0.07563,Active Excavation / Bench Cut,0.5026,0.3549
11,4,0.07084,Active Excavation / Bench Cut,0.4404,0.6248
12,4,0.05942,Active Excavation / Bench Cut,0.4427,0.648
13,4,0.08079,Active Excavation / Bench Cut,0.3593,0.7037
14,4,0.07086,Active Excavation / Bench Cut,0.3633,0.7547
15,4,0.10447,Active Excavation / Bench Cut,0.3633,0.6941
16,4,0.10281,Active Excavation / Bench Cut,0.3584,0.7163
17,4,0.07016,Active Excavation / Bench Cut,0.3576,0.5569
18,4,0.11655,Active Excavation / Bench Cut,0.3879,0.5815
19,4,0.07836,Active Excavation / Bench Cut,0.4434,0.409
20,4,0.08428,Active Excavation / Bench Cut,0.4526,0.4737
21,4,0.05736,Active Excavation / Bench Cut,0.4667,0.3391
22,4,0.04384,Overburden / Dump Movement,0.5524,0.258
23,4,0.06291,Active Excavation / Bench Cut,0.4939,0.2969
24,4,0.05832,Active Excavation / Bench Cut,0.5247,0.1784
25,4,0.07869,Active Excavation / Bench Cut,0.4887,0.1614
26,4,0.06741,Active Excavation / Bench Cut,0.5496,0.0062
27,4,0.05762,Active Excavation / Bench Cut,0.5144,0.0882
28,4,0.0604,Active Excavation / Bench Cut,0.4969,0.0902
29,4,0.07634,Active Excavation / Bench Cut,0.558,0.1876
0,5,0.06606,Active Excavation / Bench Cut,0.5153,0.2052
1,5,0.07716,Active Excavation / Bench Cut,0.4802,0.3521
2,5,0.08097,Active Excavation / Bench Cut,0.5099,0.5001
3,5,0.07559,Active Excavation / Bench Cut,0.4785,0.4467
4,5,0.06872,Active Excavation / Bench Cut,0.418,0.3149
5,5,0.08046,Active Excavation / Bench Cut,0.4829,0.5786
6,5,0.11082,Active Excavation / Bench Cut,0.405,0.5531
7,5,0.07505,Active Excavation / Bench Cut,0.4114,0.5594
8,5,0.09222,Active Excavation / Bench Cut,0.43,0.5614
9,5,0.07284,Active Excavation / Bench Cut,0.4124,0.4674
10,5,0.07691,Active Excavation / Bench Cut,0.4101,0.5278
11,5,0.07039,Active Excavation / Bench Cut,0.4373,0.4844
12,5,0.07647,Active Excavation / Bench Cut,0.3785,0.5356
13,5,0.10458,Active Excavation / Bench Cut,0.3563,0.6509
14,5,0.11476,Active Excavation / Bench Cut,0.2971,0.6219
15,5,0.12929,Active Excavation / Bench Cut,0.3027,0.7619
16,5,0.08349,Active Excavation / Bench Cut,0.3773,0.6477
17,5,0.11318,Active Excavation / Bench Cut,0.3649,0.5498
18,5,0.07347,Active Excavation / Bench Cut,0.3311,0.6329
19,5,0.06858,Active Excavation / Bench Cut,0.3692,0.4725
20,5,0.06582,Active Excavation / Bench Cut,0.4219,0.4752
21,5,0.06703,Active Excavation / Bench Cut,0.5456,0.0255
22,5,0.08506,Active Excavation / Bench Cut,0.4561,0.2911
23,5,0.07593,Active Excavation / Bench Cut,0.4853,0.2101
24,5,0.07497,Active Excavation / Bench Cut,0.5248,0.2412
25,5,0.0647,Active Excavation / Bench Cut,0.5012,0.2141
26,5,0.08638,Active Excavation / Bench Cut,0.5025,0.1597
27,5,0.06887,Active Excavation / Bench Cut,0.5439,0.0
28,5,0.06054,Active Excavation / Bench Cut,0.5553,0.1352
29,5,0.07502,Active Excavation / Bench Cut,0.5079,0.2669
0,6,0.05582,Active Excavation / Bench Cut,0.4619,0.3344
1,6,0.07917,Active Excavation / Bench Cut,0.4429,0.3161
2,6,0.09058,Active Excavation / Bench Cut,0.4912,0.3183
3,6,0.07631,Active Excavation / Bench Cut,0.4454,0.4434
4,6,0.06692,Active Excavation / Bench Cut,0.3941,0.639
5,6,0.09162,Active Excavation / Bench Cut,0.4181,0.6238
6,6,0.1002,Active Excavation / Bench Cut,0.3514,0.645
7,6,0.06194,Active Excavation / Bench Cut,0.3974,0.6876
8,6,0.08536,Active Excavation / Bench Cut,0.3976,0.5407
9,6,0.06949,Active Excavation / Bench Cut,0.3977,0.5499
10,6,0.05719,Active Excavation / Bench Cut,0.4254,0.6077
11,6,0.07679,Active Excavation / Bench Cut,0.4294,0.484
12,6,0.07259,Active Excavation / Bench Cut,0.3947,0.6786
13,6,0.08837,Active Excavation / Bench Cut,0.324,0.56
14,6,0.10556,Active Excavation / Bench Cut,0.3331,0.6221
15,6,0.08276,Active Excavation / Bench Cut,0.3017,0.7113
16,6,0.08496,Active Excavation / Bench Cut,0.3394,0.6895
17,6,0.10524,Active Excavation / Bench Cut,0.3734,0.6482
18,6,0.07783,Active Excavation / Bench Cut,0.4454,0.6171
19,6,0.07126,Active Excavation / Bench Cut,0.4564,0.5545
20,6,0.05439,Active Excavation / Bench Cut,0.4046,0.4215
21,6,0.06847,Active Excavation / Bench Cut,0.4691,0.3541
22,6,0.09514,Active Excavation / Bench Cut,0.4824,0.3495
23,6,0.06358,Active Excavation / Bench Cut,0.5069,0.264
24,6,0.08349,Active Excavation / Bench Cut,0.4808,0.3041
25,6,0.06748,Active Excavation / Bench Cut,0.5151,0.2917
26,6,0.06642,Active Excavation / Bench Cut,0.5558,0.1203
27,6,0.06387,Active Excavation / Bench Cut,0.5208,0.1403
28,6,0.05597,Active Excavation / Bench Cut,0.5408,0.028
29,6,0.04736,Overburden / Dump Movement,0.5354,0.0957
0,7,0.06618,Active Excavation / Bench Cut,0.4812,0.1814
1,7,0.05924,Active Excavation / Bench Cut,0.5009,0.2931
2,7,0.06348,Active Excavation / Bench Cut,0.4309,0.4254
3,7,0.08563,Active Excavation / Bench Cut,0.405,0.3999
4,7,0.08519,Active Excavation / Bench Cut,0.3996,0.5323
5,7,0.09192,Active Excavation / Bench Cut,0.354,0.696
6,7,0.09345,Active Excavation / Bench Cut,0.3781,0.7549
7,7,0.08368,Active Excavation / Bench Cut,0.3147,0.7193
8,7,0.08329,Active Excavation / Bench Cut,0.3656,0.5662
9,7,0.08133,Active Excavation / Bench Cut,0.3854,0.6159
10,7,0.07977,Active Excavation / Bench Cut,0.4043,0.6726
11,7,0.09575,Active Excavation / Bench Cut,0.481,0.4233
12,7,0.09345,Active Excavation / Bench Cut,0.4078,0.5833
13,7,0.07039,Active Excavation / Bench Cut,0.3591,0.6583
14,7,0.07172,Active Excavation / Bench Cut,0.3942,0.6152
15,7,0.05226,Active Excavation / Bench Cut,0.3522,0.647
16,7,0.06231,Active Excavation / Bench Cut,0.3673,0.6574
17,7,0.08699,Active Excavation / Bench Cut,0.3744,0.6226
18,7,0.07878,Active Excavation / Bench Cut,0.4392,0.4845
19,7,0.06818,Active Excavation / Bench Cut,0.4506,0.4027
20,7,0.07474,Active Excavation / Bench Cut,0.3994,0.3003
21,7,0.0568,Active Excavation / Bench Cut,0.5055,0.3945
22,7,0.06947,Active Excavation / Bench Cut,0.5166,0.2091
23,7,0.08517,Active Excavation / Bench Cut,0.5426,0.3067
24,7,0.07335,Active Excavation / Bench Cut,0.4934,0.3586
25,7,0.05499,Active Excavation / Bench Cut,0.5691,0.1355
26,7,0.0618,Active Excavation / Bench Cut,0.5013,0.1064
27,7,0.08263,Active Excavation / Bench Cut,0.5026,0.3206
28,7,0.09333,Active Excavation / Bench Cut,0.5132,0.1386
29,7,0.05733,Active Excavation / Bench Cut,0.5364,0.0348
0,8,0.07567,Active Excavation / Bench Cut,0.4712,0.3564
1,8,0.09231,Active Excavation / Bench Cut,0.433,0.3142
2,8,0.08502,Active Excavation / Bench Cut,0.4309,0.2884
3,8,0.06911,Active Excavation / Bench Cut,0.4258,0.5592
4,8,0.06021,Active Excavation / Bench Cut,0.3394,0.3725
5,8,0.11588,Active Excavation / Bench Cut,0.3799,0.6314
6,8,0.0805,Active Excavation / Bench Cut,0.3435,0.8145
7,8,0.11518,Active Excavation / Bench Cut,0.2707,0.7309
8,8,0.10493,Active Excavation / Bench Cut,0.3416,0.6472
9,8,0.06086,Active Excavation / Bench Cut,0.3639,0.6456
10,8,0.09372,Active Excavation / Bench Cut,0.3686,0.6748
11,8,0.07274,Active Excavation / Bench Cut,0.441,0.6812
12,8,0.06114,Active Excavation / Bench Cut,0.451,0.4646
13,8,0.08664,Active Excavation / Bench Cut,0.4246,0.5305
14,8,0.05009,Active Excavation / Bench Cut,0.3697,0.4957
15,8,0.07943,Active Excavation / Bench Cut,0.4164,0.5413
16,8,0.09027,Active Excavation / Bench Cut,0.3938,0.6209
17,8,0.07411,Active Excavation / Bench Cut,0.4406,0.583
18,8,0.06953,Active Excavation / Bench Cut,0.4779,0.4659
19,8,0.07185,Active Excavation / Bench Cut,0.4773,0.3183
20,8,0.07389,Active Excavation / Bench Cut,0.4738,0.4985
21,8,0.07502,Active Excavation / Bench Cut,0.5374,0.3025
22,8,0.06819,Active Excavation / Bench Cut,0.4889,0.2016
23,8,0.08437,Active Excavation / Bench Cut,0.5136,0.1581
24,8,0.05857,Active Excavation / Bench Cut,0.4782,0.1324
25,8,0.07009,Active Excavation / Bench Cut,0.5131,0.0422
26,8,0.076,Active Excavation / Bench Cut,0.5304,0.1088
27,8,0.06739,Active Excavation / Bench Cut,0.5865,0.13
28,8,0.05695,Active Excavation / Bench Cut,0.5199,0.1663
29,8,0.07514,Active Excavation / Bench Cut,0.5128,0.0779
0,9,0.13415,Active Excavation / Bench Cut,0.4547,0.2382
1,9,0.06388,Active Excavation / Bench Cut,0.4837,0.3263
2,9,0.09292,Active Excavation / Bench Cut,0.4494,0.4124
3,9,0.06135,Active Excavation / Bench Cut,0.4357,0.38
4,9,0.08648,Active Excavation / Bench Cut,0.3379,0.5183
5,9,0.07731,Active Excavation / Bench Cut,0.3866,0.5612
6,9,0.05497,Active Excavation / Bench Cut,0.3779,0.7137
7,9,0.09703,Active Excavation / Bench Cut,0.32,0.7008
8,9,0.07869,Active Excavation / Bench Cut,0.3215,0.7164
9,9,0.08269,Active Excavation / Bench Cut,0.3657,0.6584
10,9,0.08237,Active Excavation / Bench Cut,0.4309,0.4796
11,9,0.0747,Active Excavation / Bench Cut,0.4499,0.5187
12,9,0.05491,Active Excavation / Bench Cut,0.4258,0.3608
13,9,0.0948,Active Excavation / Bench Cut,0.4602,0.3126
14,9,0.07556,Active Excavation / Bench Cut,0.4367,0.5756
15,9,0.06884,Active Excavation / Bench Cut,0.403,0.5911
16,9,0.07975,Active Excavation / Bench Cut,0.4644,0.4438
17,9,0.06618,Active Excavation / Bench Cut,0.4549,0.3869
18,9,0.07339,Active Excavation / Bench Cut,0.4366,0.4578
19,9,0.06123,Active Excavation / Bench Cut,0.4588,0.3567
20,9,0.07926,Active Excavation / Bench Cut,0.4779,0.2252
21,9,0.08479,Active Excavation / Bench Cut,0.4965,0.256
22,9,0.09334,Active Excavation / Bench Cut,0.4947,0.3076
23,9,0.05912,Active Excavation / Bench Cut,0.4993,0.2072
24,9,0.07682,Active Excavation / Bench Cut,0.5274,0.1151
25,9,0.07681,Active Excavation / Bench Cut,0.4971,0.1972
26,9,0.05842,Active Excavation / Bench Cut,0.5232,0.1272
27,9,0.05463,Active Excavation / Bench Cut,0.532,0.1059
28,9,0.07893,Active Excavation / Bench Cut,0.5747,0.0279
29,9,0.06711,Active Excavation / Bench Cut,0.531,0.1519
0,10,0.08386,Active Excavation / Bench Cut,0.4152,0.1924
1,10,0.08039,Active Excavation / Bench Cut,0.4545,0.2878
2,10,0.06533,Active Excavation / Bench Cut,0.4475,0.1681
3,10,0.07084,Active Excavation / Bench Cut,0.4588,0.5147
4,10,0.09385,Active Excavation / Bench Cut,0.4456,0.4789
5,10,0.08845,Active Excavation / Bench Cut,0.4027,0.6636
6,10,0.07966,Active Excavation / Bench Cut,0.3924,0.6883
7,10,0.07851,Active Excavation / Bench Cut,0.3772,0.692
8,10,0.09221,Active Excavation / Bench Cut,0.4151,0.7422
9,10,0.08414,Active Excavation / Bench Cut,0.3887,0.6065
10,10,0.07754,Active Excavation / Bench Cut,0.3908,0.6297
11,10,0.07854,Active Excavation / Bench Cut,0.3962,0.3949
12,10,0.08289,Active Excavation / Bench Cut,0.4552,0.3264
13,10,0.08984,Active Excavation / Bench Cut,0.4308,0.1635
14,10,0.06206,Active Excavation / Bench Cut,0.4712,0.286
15,10,0.05584,Active Excavation / Bench Cut,0.4858,0.4134
16,10,0.09799,Active Excavation / Bench Cut,0.4494,0.2354
17,10,0.08774,Active Excavation / Bench Cut,0.4592,0.3283
18,10,0.0679,Active Excavation / Bench Cut,0.4875,0.3792
19,10,0.09545,Active Excavation / Bench Cut,0.4489,0.2634
20,10,0.08859,Active Excavation / Bench Cut,0.529,0.2985
21,10,0.06109,Active Excavation / Bench Cut,0.5084,0.1311
22,10,0.08163,Active Excavation / Bench Cut,0.5057,0.2697
23,10,0.06162,Active Excavation / Bench Cut,0.5459,0.1577
24,10,0.08857,Active Excavation / Bench Cut,0.5066,0.109
25,10,0.07897,Active Excavation / Bench Cut,0.519,0.0289
26,10,0.12538,Active Excavation / Bench Cut,0.5047,0.2511
27,10,0.06398,Active Excavation / Bench Cut,0.5129,0.0547
28,10,0.08097,Active Excavation / Bench Cut,0.549,0.1018
29,10,0.08324,Active Excavation / Bench Cut,0.5547,0.0403
0,11,0.07371,Active Excavation / Bench Cut,0.4702,0.1949
1,11,0.09017,Active Excavation / Bench Cut,0.4844,0.1565
2,11,0.07269,Active Excavation / Bench Cut,0.46,0.3133
3,11,0.0784,Active Excavation / Bench Cut,0.4155,0.338
4,11,0.07048,Active Excavation / Bench Cut,0.4333,0.4577
5,11,0.07481,Active Excavation / Bench Cut,0.4768,0.3136
6,11,0.08579,Active Excavation / Bench Cut,0.4251,0.5654
7,11,0.07212,Active Excavation / Bench Cut,0.3727,0.5377
8,11,0.08024,Active Excavation / Bench Cut,0.3632,0.5736
9,11,0.07182,Active Excavation / Bench Cut,0.4319,0.4912
10,11,0.09436,Active Excavation / Bench Cut,0.4341,0.51
11,11,0.10407,Active Excavation / Bench Cut,0.4757,0.5047
12,11,0.07599,Active Excavation / Bench Cut,0.463,0.4693
13,11,0.05935,Active Excavation / Bench Cut,0.516,0.3658
14,11,0.06408,Active Excavation / Bench Cut,0.4927,0.29
15,11,0.07098,Active Excavation / Bench Cut,0.4656,0.4265
16,11,0.06366,Active Excavation / Bench Cut,0.4704,0.3417
17,11,0.06062,Active Excavation / Bench Cut,0.4579,0.4081
18,11,0.07881,Active Excavation / Bench Cut,0.5007,0.3819
19,11,0.06511,Active Excavation / Bench Cut,0.4949,0.3918
20,11,0.05528,Active Excavation / Bench Cut,0.4811,0.2466
21,11,0.05436,Active Excavation / Bench Cut,0.5121,0.3234
22,11,0.06781,Active Excavation / Bench Cut,0.5256,0.2184
23,11,0.06283,Active Excavation / Bench Cut,0.5304,0.0762
24,11,0.05447,Active Excavation / Bench Cut,0.4797,0.2753
25,11,0.05271,Active Excavation / Bench Cut,0.5317,0.1627
26,11,0.08684,Active Excavation / Bench Cut,0.536,0.205
27,11,0.07427,Active Excavation / Bench Cut,0.5719,0.0
28,11,0.07561,Active Excavation / Bench Cut,0.5296,0.0366
29,11,0.08037,Active Excavation / Bench Cut,0.5518,0.154
0,12,0.05902,Active Excavation / Bench Cut,0.4889,0.2246
1,12,0.05884,Active Excavation / Bench Cut,0.4801,0.2572
2,12,0.05411,Active Excavation / Bench Cut,0.4321,0.2759
3,12,0.0681,Active Excavation / Bench Cut,0.4037,0.4302
4,12,0.07528,Active Excavation / Bench Cut,0.4437,0.3962
5,12,0.08694,Active Excavation / Bench Cut,0.4662,0.5593
6,12,0.07152,Active Excavation / Bench Cut,0.4221,0.515
7,12,0.07247,Active Excavation / Bench Cut,0.4514,0.3395
8,12,0.06576,Active Excavation / Bench Cut,0.4802,0.2787
9,12,0.08078,Active Excavation / Bench Cut,0.436,0.4225
10,12,0.07181,Active Excavation / Bench Cut,0.4197,0.4006
11,12,0.06096,Active Excavation / Bench Cut,0.4464,0.2007
12,12,0.08304,Active Excavation / Bench Cut,0.3948,0.4322
13,12,0.07213,Active Excavation / Bench Cut,0.5362,0.3157
14,12,0.07944,Active Excavation / Bench Cut,0.5288,0.3546
15,12,0.05328,Active Excavation / Bench Cut,0.5034,0.3786
16,12,0.06376,Active Excavation / Bench Cut,0.4523,0.2715
17,12,0.05883,Active Excavation / Bench Cut,0.4749,0.1207
18,12,0.05053,Active Excavation / Bench Cut,0.507,0.1196
19,12,0.08394,Active Excavation / Bench Cut,0.4914,0.2748
20,12,0.09878,Active Excavation / Bench Cut,0.5689,0.277
21,12,0.06911,Active Excavation / Bench Cut,0.475,0.1816
22,12,0.07467,Active Excavation / Bench Cut,0.4856,0.2294
23,12,0.05321,Active Excavation / Bench Cut,0.4652,0.2677
24,12,0.06115,Active Excavation / Bench Cut,0.5631,0.0427
25,12,0.07207,Active Excavation / Bench Cut,0.5289,0.1704
26,12,0.07822,Active Excavation / Bench Cut,0.5511,0.0865
27,12,0.05503,Active Excavation / Bench Cut,0.5142,0.0953
28,12,0.08913,Active Excavation / Bench Cut,0.5561,0.2757
29,12,0.06069,Active Excavation / Bench Cut,0.5598,0.028
0,13,0.08078,Active Excavation / Bench Cut,0.5142,0.1835
1,13,0.07922,Active Excavation / Bench Cut,0.4938,0.2842
2,13,0.07399,Active Excavation / Bench Cut,0.469,0.31
3,13,0.09144,Active Excavation / Bench Cut,0.4487,0.1247
4,13,0.08852,Active Excavation / Bench Cut,0.4555,0.2607
5,13,0.08794,Active Excavation / Bench Cut,0.479,0.3519
6,13,0.06565,Active Excavation / Bench Cut,0.4669,0.3747
7,13,0.0723,Active Excavation / Bench Cut,0.4974,0.3711
8,13,0.08764,Active Excavation / Bench Cut,0.478,0.3304
9,13,0.09467,Active Excavation / Bench Cut,0.484,0.257
10,13,0.04908,Overburden / Dump Movement,0.4373,0.3771
11,13,0.0651,Active Excavation / Bench Cut,0.477,0.2552
12,13,0.08792,Active Excavation / Bench Cut,0.475,0.1198
13,13,0.06548,Active Excavation / Bench Cut,0.5083,0.1797
14,13,0.06286,Active Excavation / Bench Cut,0.5103,0.3274
15,13,0.0811,Active Excavation / Bench Cut,0.4628,0.303
16,13,0.07121,Active Excavation / Bench Cut,0.5281,0.1514
17,13,0.07814,Active Excavation / Bench Cut,0.5133,0.1925
18,13,0.06296,Active Excavation / Bench Cut,0.5093,0.2499
19,13,0.06136,Active Excavation / Bench Cut,0.494,0.213
20,13,0.06744,Active Excavation / Bench Cut,0.5254,0.2529
21,13,0.0688,Active Excavation / Bench Cut,0.5095,0.2571
22,13,0.08413,Active Excavation / Bench Cut,0.4907,0.0
23,13,0.0926,Active Excavation / Bench Cut,0.5026,0.2632
24,13,0.07557,Active Excavation / Bench Cut,0.5269,0.17
25,13,0.08063,Active Excavation / Bench Cut,0.5552,0.0436
26,13,0.067,Active Excavation / Bench Cut,0.4932,0.1972
27,13,0.06257,Active Excavation / Bench Cut,0.5146,0.1019
28,13,0.10602,Active Excavation / Bench Cut,0.5959,0.141
29,13,0.05296,Active Excavation / Bench Cut,0.5678,0.1685
0,14,0.07023,Active Excavation / Bench Cut,0.5317,0.3164
1,14,0.06948,Active Excavation / Bench Cut,0.5203,0.2524
2,14,0.06983,Active Excavation / Bench Cut,0.4696,0.195
3,14,0.05647,Active Excavation / Bench Cut,0.5024,0.2054
4,14,0.06566,Active Excavation / Bench Cut,0.4075,0.2002
